id,title,author,publisher,publishedAt,isbn,image,category,,,,,,,,,,,,,,,,,
1,12가지 인생의 법칙,조던 B. 피터슨,메이븐,,,,인문학,,,,,,,,,,,,,,,,,
2,1년 안에 AI 빅데이터 전문가가 되는 법,서대호,반니,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
3,1억배 빠른 양자 컴퓨터가 온다,"니시모리 히데토시,오오제키 마사유키",로드북,,,,기술 교양,,,,,,,,,,,,,,,,,
4,2019 이기적 정보처리기사,"김명주, 강희영",영진닷컴,,,,디자인/자격증,,,,,,,,,,,,,,,,,
5,2020 국가공인 재경관리사 K-IFRS 재무회계,삼일회계법인,삼일인포마인,,,,디자인/자격증,,,,,,,,,,,,,,,,,
6,2020 정보처리기사 실기 1권,"김정준, 강윤석, 김용갑, 김우경, 길벗알앤디",길벗,,,,디자인/자격증,,,,,,,,,,,,,,,,,
7,2020 정보처리기사 실기 2권,"김정준, 강윤석, 김용갑, 김우경, 길벗알앤디",길벗,,,,디자인/자격증,,,,,,,,,,,,,,,,,
8,2030 대담한 미래2,최윤식,지식노마드,,,,자기계발,,,,,,,,,,,,,,,,,
9,21세기를 위한 21가지 제언 - 더 나은 오늘은 어떻게 가능한가,유발 하라리,김영사,,,,인문학,,,,,,,,,,,,,,,,,
10,30분 통계학,구로타 히로시,길벗,,,,수학,,,,,,,,,,,,,,,,,
11,3차원 창의력 개발법,이광형,비지니스맵,,,,교육,,,,,,,,,,,,,,,,,
12,4차 산업혁명 시대의 이산수학,김대수,생능출판사,,,,수학,,,,,,,,,,,,,,,,,
13,4차 산업혁명 시대의 컴퓨터 개론,김대수,생능출판사,,,,컴퓨터 개론,,,,,,,,,,,,,,,,,
14,같은 스물 다른 인생 - 삼성에서 길을 찾다,"이동희, 이철준",출판이안,,,,인문학,,,,,,,,,,,,,,,,,
15,"개발 7년차, 매니저 1일차",카미유 푸르니에,한빛미디어,,,,조직/실무,,,,,,,,,,,,,,,,,
16,개발자 오디세이아 - 더 나은 개발자의 삶을 위해,이경종,로드북,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
17,개발자도 궁금한 IT 인프라,"정송화, 김영선, 전성민",제이펍,,,,기술 교양,,,,,,,,,,,,,,,,,
18,개발자의 글쓰기,김철수,위키북스,,,,기술 교양,,,,,,,,,,,,,,,,,
19,개발자의 코드,카 와이 청,지&선(지앤선),,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
20,객관적이고 과학적인 공부법,"이지성, 인현진",차이정원,,,,교육,,,,,,,,,,,,,,,,,
21,"객체지향의 사실과 오해 - 역할, 책임, 협력 관점에서 본 객체지향 A",조영호,위키북스,,,,소프트웨어공학,,,,,,,,,,,,,,,,,
22,거의 모든 IT의 역사,정지훈,메디치미디어,,,,기술 교양,,,,,,,,,,,,,,,,,
23,거침없이 배우는 자바스크립트 & 제이쿼리,데이비드 소이어 맥파랜드 (지은이),지&선(지앤선),,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
24,게임 엔진 블랙 북 울펜슈타인 3D,파비앙 상글라르,한빛미디어,,,,게임개발/모바일,,,,,,,,,,,,,,,,,
25,게임서비스와 법,김윤명,경인문화사,,,,기술 교양,,,,,,,,,,,,,,,,,
